"??????????  ;1111111111  00", 
"??????????  ;1111111314  00", 
"??????????  ;1111111315  00", 
"??????????  ;1111111316  00", 
"??????????  ;1111111317  00", 
"??????????  ;1111111318  00", 
"??????????  ;1111111319  00", 
"??????????  ;1111111320  00", 
"??????????  ;1111111321  00", 
"??????????  ;1111111322  00", 
"??????????  ;1111111323  00", 
"??????????  ;1111111324  00", 
"??????????  ;1111111325  00", 
"??????????  ;1111111326  00", 
"??????????  ;1111111327  00", 
"??????????  ;1111111328  00", 
"??????????  ;1111111329  00", 
"??????????  ;1111111330  00", 
"??????????  ;1111111331  00", 
"??????????  ;1111111332  00", 
"??????????  ;1111111333  00", 
"??????????  ;1111111334  00", 
"??????????  ;1111111335  00", 
"??????????  ;1111111336  00", 
"??????????  ;1111111337  00", 
"??????????  ;1111111338  00", 
"??????????  ;1111111339  00", 
"??????????  ;1111111340  00", 
"??????????  ;1111111341  00", 
"??????????  ;1111111342  00", 
"??????????  ;1111111343  00", 
"??????????  ;1111111344  00", 
"??????????  ;1111111345  00", 
"??????????  ;1111111346  00", 
"??????????  ;1111111347  00", 
"??????????  ;1111111348  00", 
"??????????  ;1111111349  00", 
"??????????  ;1111111350  00", 
"??????????  ;1111111351  00", 
"??????????  ;1111111352  00", 
"??????????  ;1111111353  00", 
"??????????  ;1111111354  00", 
"??????????  ;1111111355  00", 
"??????????  ;1111111356  00", 
"??????????  ;1111111357  00", 
"??????????  ;1111111358  00", 
"??????????  ;1111111359  00", 
"??????????  ;1111111360  00", 
"??????????  ;1111111361  00", 
"??????????  ;1111111362  00", 
"??????????  ;1111111363  00", 
"??????????  ;1111111364  00", 
"??????????  ;1111111365  00"
